"Name on Card","Naam op kaart"
"Credit Card Information","Creditcard gegevens"
"Credit Card Type","Creditcard type"
"Credit Card Number","Creditcard Number"
"Credit Card Owner","Creditcard Houder"
"Expiration Date","Verloopdatum"
"Card Verification Number","Creditcard Verificatie Nummer"
"--Please Select--","--Selecteer--"
"What is this?","Wat is dit?"
"Remember these details","Onthoud deze details"
"Select Your Bank","Selecteer uw bank"
"You will be redirected to the Adyen website.","U wordt doorverwezen naar de Adyen-website."
"Update","Bijwerken"
"Place Order","Plaats bestelling"
"Continue to Adyen","Doorgaan naar Adyen"
"Unknown","Onbekend"
"Mismatch between Live/Test modes of Magento store and the Adyen platform","Niet-overeenstemming tussen Live / Test-modi van Magento-winkel en het Adyen-platform"
"You have cancelled the order. Please try again","U hebt de bestelling geannuleerd Probeer het opnieuw"
"Your payment failed, Please try again later","Uw betaling is mislukt. Probeer het later opnieuw"
"Response is empty, please check your webserver that the result url accepts parameters","Reactie is leeg, controleer uw webserver dat de resultaat-URL parameters accepteert"
"ResultUrl authentification failure","ResultUrl authenticatie fout "
"Order does not exists with increment_id: %1","Bestelling bestaat niet met increment_id: %1"
"Empty merchantReference","Lege verkoperReferentie"
"3D-secure validation was successful","3D-beveiligde validatie was succesvol"
"3D-secure validation was unsuccessful.","3D-beveiligde validatie was niet succesvol."
"Customer was redirected to bank for 3D-secure validation.","Klant is doorgestuurd naar bank voor 3D-beveiligde validatie."
"Used existing billing agreement #%s.","Gebruikte bestaande factureringsovereenkomst #%s."
"Created billing agreement #%1.","Factureringsovereenkomst gemaakt #%1."
"Failed to create billing agreement for this order.","Kan geen factuurovereenkomst voor deze bestelling maken."
"Failed to create billing agreement for this order (listRecurringCall did not contain contract)","Kan geen factuurovereenkomst voor deze bestelling maken (listRecurringCall bevat geen contract)"
"Adyen Refund Successfully completed","Adyen Refund succesvol afgerond"
"Payment is pre authorised waiting for capture","De betaling wordt vooraf geautoriseerd om te wachten op opname"
"Capture Mode set to Manual","Capture Mode ingesteld op Manual"
"Adyen Payment is in Manual Review check the Adyen platform","Adyen Payment is in Manual Review, controleer het Adyen-platform"
"Adyen Payment Successfully completed","Adyen-betaling succesvol afgerond"
"Shipment created by Adyen","Verzending gemaakt door Adyen"
"3D secure failed","3D-beveiligd is mislukt"
"The capture action failed","De opnameactie is mislukt"
"The refund action failed","De actie voor teruggave is mislukt"
"Failed to disable this contract","Kan dit contract niet uitschakelen"
"Card encryption failed","Kaartversleuteling mislukt"
"The authorize action is not available.","De autorisatie-actie is niet beschikbaar."
"Empty result.","Leeg resultaat."
"3D secure is not valid","3D Secure is niet geldig"
"The transaction is not permitted.","De transactie is niet toegestaan."
"Declined due to the Card Security Code(CVC) being incorrect. Please check your CVC code!","Afgewezen vanwege de Card Security Code(CVC) onjuist zijn. Controleer alstublieft uw CVC code!"
"The card is restricted.","De kaart is beperkt."
"The payment is REFUSED because the saved card is removed. Please try an other payment method.","De betaling wordt GEWEIGERD omdat de opgeslagen kaart is verwijderd. Probeer een andere betaalmethode."
"The expiry month is not set. Please check your expiry month!","De vervalmaand is niet ingesteld. Controleer alstublieft uw verloopmaand!"
"The payment is REFUSED.","De betaling is GEWEIGERD."
"Failed to disable this contract","Kan dit contract niet uitschakelen"
"You will be redirected to the Adyen App", "U wordt doorgestuurd naar de Adyen-app"
"Continue to Adyen App", "Doorgaan naar Adyen-app"
"Do not use Installments", "Gebruik geen wederkerende betalingen"
"(Please provide a card with the type from the list above)", "(Please provide a card with the type from the list above)"
